game,team1,team2
1,Rutgers_ScarletKnights,NotreDame_FightingIrish
2,Wyoming_Cowboys,Indiana_Hoosiers
3,WrightState_Raiders,Bryant_Bulldogs
4,TexasSouthern_Tigers,TexasA&MCC_Islanders
5,Gonzaga_Bulldogs,GeorgiaState_Panthers
6,BoiseState_Broncos,Memphis_Tigers
7,Connecticut_Huskies,NewMexicoState_Aggies
8,Arkansas_Razorbacks,Vermont_Catamounts
9,Alabama_CrimsonTide,Game1
10,TexasTech_RedRaiders,MontanaState_Bobcats
11,MichiganState_Spartans,Davidson_Wildcats
12,Duke_BlueDevils,CalStateFullerton_Titans
13,Baylor_Bears,NorfolkState_Spartans
14,NorthCarolina_TarHeels,Marquette_GoldenEagles
15,SaintMarys_Gaels,Game2
16,UCLA_Bruins,Akron_Zips
17,Texas_Longhorns,VirginiaTech_Hokies
18,Purdue_Boilermakers,Yale_Bulldogs
19,MurrayState_Racers,SanFrancisco_Dons
20,Kentucky_Wildcats,SaintPeters_Peacocks
21,Arizona_Wildcats,Game3
22,SetonHall_Pirates,TCU_HornedFrogs
23,Houston_Cougars,UAB_Blazers
24,Illinois_FightingIllini,Chattanooga_Mocs
25,ColoradoState_Rams,Michigan_Wolverines
26,Tennessee_Volunteers,Longwood_Lancers
27,OhioState_Buckeyes,LoyolaChicago_Ramblers
28,Villanova_Wildcats,Delaware_FightinBlueHens
29,Kansas_Jayhawks,Game4
30,SanDiegoState_Aztecs,Creighton_Bluejays
31,Iowa_Hawkeyes,Richmond_Spiders
32,Providence_Friars,SDakotaState_Jackrabbits
33,LouisianaState_Tigers,IowaState_Cyclones
34,Wisconsin_Badgers,Colgate_Raiders
35,SouthernCalifornia_Trojans,Miami_Hurricanes
36,Auburn_Tigers,JacksonState_Tigers